Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p14-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 22
n.adlt.fst_p14-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 23
n.adlt.fst_p14-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 24
n.adlt.fst_p15-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 16
n.adlt.fst_p15-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 17
n.adlt.fst_p15-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 18
n.adlt.fst_p15-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 19
n.adlt.fst_p15-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 20
n.adlt.fst_p15-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 21
n.adlt.fst_p15-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 22
n.adlt.fst_p15-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 23
n.adlt.fst_p15-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 15 and 24
n.adlt.fst_p16-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 17
n.adlt.fst_p16-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 18
n.adlt.fst_p16-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 19
n.adlt.fst_p16-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 20
n.adlt.fst_p16-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 21
n.adlt.fst_p16-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 22
n.adlt.fst_p16-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 23
n.adlt.fst_p16-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 16 and 24
n.adlt.fst_p17-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 18
n.adlt.fst_p17-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 19
n.adlt.fst_p17-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 20
n.adlt.fst_p17-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 21
n.adlt.fst_p17-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 22
n.adlt.fst_p17-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 23
n.adlt.fst_p17-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 17 and 24
n.adlt.fst_p18-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 19
n.adlt.fst_p18-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 20
n.adlt.fst_p18-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 21
n.adlt.fst_p18-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 22
n.adlt.fst_p18-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 23
n.adlt.fst_p18-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 18 and 24
n.adlt.fst_p19-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 19 and 20
n.adlt.fst_p19-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 19 and 21
n.adlt.fst_p19-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 19 and 22
