generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
419         	1           	10          	0.03933     	0.05262     	0.02561     
420         	1           	10          	0.03986     	0.05246     	0.02684     
421         	1           	10          	0.03929     	0.05148     	0.02668     
422         	1           	10          	0.03942     	0.05225     	0.02617     
423         	1           	10          	0.04077     	0.05399     	0.0271      
424         	1           	10          	0.04086     	0.05387     	0.02737     
425         	1           	10          	0.04081     	0.05421     	0.02695     
426         	1           	10          	0.04081     	0.05367     	0.02753     
427         	1           	10          	0.04156     	0.05384     	0.02887     
428         	1           	10          	0.04177     	0.05368     	0.02948     
429         	1           	10          	0.04153     	0.05411     	0.02856     
430         	1           	10          	0.04168     	0.05368     	0.0293      
431         	1           	10          	0.04213     	0.05485     	0.02895     
432         	1           	10          	0.04258     	0.05607     	0.02859     
433         	1           	10          	0.04196     	0.05448     	0.02898     
434         	1           	9.95        	0.0401      	0.05306     	0.02668     
435         	1           	10          	0.03954     	0.052       	0.02664     
436         	1           	9.95        	0.04058     	0.05266     	0.02801     
437         	1           	10          	0.04104     	0.05335     	0.02822     
438         	1           	10          	0.04121     	0.05358     	0.02832     
439         	1           	9.95        	0.04045     	0.05067     	0.02982     
440         	1           	10          	0.04077     	0.05148     	0.02959     
441         	1           	10          	0.041       	0.05129     	0.03025     
442         	1           	10          	0.04077     	0.05094     	0.03014     
443         	1           	10          	0.04154     	0.05302     	0.02952     
444         	1           	10          	0.04127     	0.05325     	0.02871     
445         	1           	10          	0.04164     	0.05432     	0.02838     
446         	1           	10          	0.04137     	0.05365     	0.02856     
447         	1           	10          	0.04128     	0.05372     	0.02829     
448         	1           	10          	0.04114     	0.05376     	0.02795     
449         	1           	10          	0.04028     	0.05249     	0.02753     
450         	1           	10          	0.04051     	0.05254     	0.02794     
451         	1           	10          	0.04099     	0.0529      	0.02852     
452         	1           	10          	0.04131     	0.05303     	0.02904     
453         	1           	10          	0.0414      	0.0528      	0.02944     
454         	1           	10          	0.04074     	0.05219     	0.02872     
455         	1           	10          	0.04067     	0.05347     	0.02721     
456         	1           	10          	0.03986     	0.05299     	0.02606     
457         	1           	10          	0.0411      	0.05507     	0.02642     
458         	1           	10          	0.04124     	0.0549      	0.02692     
459         	1           	10          	0.03986     	0.05398     	0.02504     
460         	1           	10          	0.04125     	0.05675     	0.02501     
461         	1           	10          	0.04115     	0.05721     	0.02429     
462         	1           	10          	0.04096     	0.05732     	0.02382     
463         	1           	10          	0.04243     	0.05824     	0.02585     
464         	1           	10          	0.04325     	0.05918     	0.02659     
465         	1           	10          	0.04297     	0.05851     	0.02664     
466         	1           	10          	0.04177     	0.05595     	0.02687     
467         	1           	10          	0.04238     	0.05663     	0.02738     
468         	1           	10          	0.0416      	0.05578     	0.0267      
469         	1           	10          	0.04361     	0.05817     	0.02834     
470         	1           	10          	0.04408     	0.05892     	0.02854     
471         	1           	10          	0.04329     	0.05779     	0.02816     
472         	1           	10          	0.04375     	0.05908     	0.02775     
473         	1           	10          	0.04437     	0.05856     	0.02962     
474         	1           	10          	0.04591     	0.06129     	0.02992     
475         	1           	9.95        	0.0454      	0.06018     	0.03002     
476         	1           	9.95        	0.04454     	0.05961     	0.02887     
477         	1           	10          	0.04438     	0.05867     	0.02947     
478         	1           	10          	0.04463     	0.05926     	0.02938     
479         	1           	10          	0.04347     	0.05829     	0.02799     
480         	1           	10          	0.04457     	0.06023     	0.02828     
481         	1           	10          	0.04466     	0.06105     	0.02763     
482         	1           	10          	0.04326     	0.05862     	0.02726     
483         	1           	10          	0.04257     	0.05709     	0.02742     
484         	1           	10          	0.04446     	0.0611      	0.02712     
485         	1           	10          	0.044       	0.05983     	0.02751     
486         	1           	10          	0.04464     	0.06018     	0.02844     
487         	1           	10          	0.04361     	0.0589      	0.02762     
488         	1           	10          	0.04337     	0.05851     	0.02755     
489         	1           	10          	0.0426      	0.05564     	0.02902     
490         	1           	10          	0.04181     	0.05486     	0.0282      
491         	1           	10          	0.04061     	0.05328     	0.02737     
492         	1           	10          	0.04083     	0.05308     	0.02805     
493         	1           	10          	0.04085     	0.05453     	0.02658     
494         	1           	10          	0.04044     	0.05464     	0.02562     
495         	1           	9.95        	0.04114     	0.05506     	0.02658     
496         	1           	10          	0.04058     	0.05396     	0.02664     
497         	1           	10          	0.04052     	0.0547      	0.02577     
498         	1           	10          	0.03957     	0.05275     	0.02588     
499         	1           	10          	0.03939     	0.0518      	0.02653     
500         	1           	10          	0.03945     	0.05083     	0.02763     
501         	1           	10          	0.03886     	0.05016     	0.02708     
502         	1           	10          	0.03888     	0.05056     	0.0267      
