generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
135         	18          	1.472       	3.763e+05   	0.2588      	5.13e+04    	4.707e+04   	5.139e+04   	3.217e+04   	2.548e+04   	2.129e+04   
136         	18          	1.719       	3.784e+05   	0.4777      	5.028e+04   	4.712e+04   	5.074e+04   	3.238e+04   	2.34e+04    	2.045e+04   
137         	18          	1.83        	3.493e+05   	0.6262      	5.005e+04   	5.196e+04   	5.022e+04   	3.197e+04   	2.115e+04   	1.878e+04   
138         	18          	2.111       	3.469e+05   	0.623       	5e+04       	5.184e+04   	5.229e+04   	3.208e+04   	1.87e+04    	1.882e+04   
139         	18          	2.25        	3.52e+05    	0.3777      	5.044e+04   	5.179e+04   	5.246e+04   	3.172e+04   	2.315e+04   	1.72e+04    
140         	18          	1.941       	3.613e+05   	0.2907      	5.115e+04   	5.136e+04   	5.204e+04   	3.136e+04   	2.266e+04   	1.592e+04   
141         	18          	1.654       	3.447e+05   	0.7531      	5.212e+04   	5.446e+04   	5.242e+04   	3.051e+04   	3.126e+04   	1.416e+04   
142         	18          	2.099       	3.499e+05   	0.5038      	5.299e+04   	5.371e+04   	5.162e+04   	2.922e+04   	3.11e+04    	1.278e+04   
143         	18          	1.719       	3.456e+05   	0.7154      	5.164e+04   	5.317e+04   	5.1e+04     	3.616e+04   	3.073e+04   	1.173e+04   
144         	18          	2.395       	4.014e+05   	0.5908      	5.218e+04   	5.261e+04   	4.999e+04   	4.745e+04   	3.021e+04   	2.162e+04   
145         	18          	1.951       	4.109e+05   	0.4609      	5.205e+04   	5.177e+04   	4.929e+04   	4.501e+04   	2.931e+04   	2.041e+04   
146         	18          	2.062       	4.143e+05   	0.4462      	5.218e+04   	5.032e+04   	4.9e+04     	4.28e+04    	2.853e+04   	2.86e+04    
147         	18          	2.111       	4.324e+05   	0.4357      	5.245e+04   	4.919e+04   	4.867e+04   	4.056e+04   	3.296e+04   	2.662e+04   
148         	18          	2.139       	4.307e+05   	0.7005      	5.206e+04   	4.816e+04   	5.062e+04   	3.76e+04    	3.275e+04   	3.312e+04   
149         	18          	1.667       	4.421e+05   	0.4931      	5.218e+04   	4.696e+04   	5.056e+04   	3.666e+04   	3.207e+04   	3.15e+04    
150         	18          	1.719       	4.583e+05   	0.5069      	5.298e+04   	4.691e+04   	5.016e+04   	3.579e+04   	3.164e+04   	2.888e+04   
151         	18          	2.028       	4.777e+05   	0.6087      	5.271e+04   	5.077e+04   	5e+04       	3.411e+04   	3.099e+04   	3.469e+04   
152         	18          	1.83        	4.8e+05     	0.4311      	5.28e+04    	4.963e+04   	5.002e+04   	3.231e+04   	3.011e+04   	3.226e+04   
153         	18          	2.028       	4.866e+05   	0.5406      	5.394e+04   	4.959e+04   	4.995e+04   	3.007e+04   	2.909e+04   	2.967e+04   
154         	18          	1.556       	5.308e+05   	0.3129      	5.411e+04   	5.216e+04   	4.974e+04   	2.845e+04   	2.681e+04   	2.74e+04    
155         	18          	1.877       	5.313e+05   	0.6952      	5.507e+04   	5.205e+04   	4.978e+04   	2.641e+04   	2.473e+04   	2.476e+04   
156         	18          	2.062       	4.865e+05   	0.6426      	5.503e+04   	5.378e+04   	5.226e+04   	2.476e+04   	2.215e+04   	2.176e+04   
157         	18          	1.765       	4.849e+05   	0.8446      	5.601e+04   	5.312e+04   	5.128e+04   	2.375e+04   	1.949e+04   	1.935e+04   
158         	18          	1.361       	4.787e+05   	0.569       	5.569e+04   	5.304e+04   	5e+04       	2.32e+04    	1.707e+04   	1.73e+04    
159         	18          	1.728       	4.843e+05   	0.6088      	5.667e+04   	5.368e+04   	4.925e+04   	2.293e+04   	1.496e+04   	1.54e+04    
160         	18          	1.556       	4.545e+05   	0.5545      	5.687e+04   	5.345e+04   	4.83e+04    	2.29e+04    	1.362e+04   	2.426e+04   
