replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	334         	9.05        	0.3285      	0.5362      	0.1161      
1           	335         	9.15        	0.3265      	0.535       	0.1133      
1           	336         	9           	0.3246      	0.5287      	0.1159      
1           	337         	9.15        	0.3228      	0.5254      	0.1156      
1           	338         	9.1         	0.3246      	0.5278      	0.1165      
1           	339         	9.1         	0.3277      	0.5348      	0.1157      
1           	340         	9.1         	0.3288      	0.5371      	0.1154      
1           	341         	9.15        	0.3256      	0.5302      	0.1159      
1           	342         	9.05        	0.3226      	0.5235      	0.1167      
1           	343         	8.95        	0.326       	0.5288      	0.1182      
1           	344         	9.05        	0.324       	0.5239      	0.119       
1           	345         	9           	0.3211      	0.5193      	0.1183      
1           	346         	9.05        	0.3228      	0.5181      	0.1226      
1           	347         	9.2         	0.3211      	0.5153      	0.1221      
1           	348         	9.1         	0.3219      	0.5155      	0.1232      
1           	349         	9.05        	0.3202      	0.5128      	0.1224      
1           	350         	8.85        	0.3199      	0.5123      	0.1226      
1           	351         	8.8         	0.3206      	0.5132      	0.123       
1           	352         	8.9         	0.3259      	0.5194      	0.1275      
1           	353         	9.05        	0.3279      	0.5234      	0.1272      
1           	354         	9           	0.3262      	0.5235      	0.1239      
1           	355         	9.05        	0.3234      	0.519       	0.1226      
1           	356         	8.95        	0.3246      	0.5228      	0.1212      
1           	357         	8.9         	0.3246      	0.5217      	0.1227      
1           	358         	8.7         	0.3274      	0.5258      	0.124       
1           	359         	8.8         	0.3268      	0.5254      	0.123       
1           	360         	9.05        	0.3297      	0.5282      	0.1259      
1           	361         	9.05        	0.3251      	0.5187      	0.1265      
1           	362         	9.05        	0.3236      	0.5135      	0.1287      
1           	363         	8.75        	0.3209      	0.509       	0.1279      
1           	364         	8.65        	0.3227      	0.5087      	0.1318      
1           	365         	8.7         	0.3237      	0.5095      	0.133       
1           	366         	8.7         	0.3226      	0.5045      	0.1361      
1           	367         	8.9         	0.3207      	0.5022      	0.1345      
1           	368         	8.9         	0.3209      	0.5018      	0.1356      
1           	369         	8.85        	0.3186      	0.5012      	0.1319      
1           	370         	8.95        	0.3172      	0.4977      	0.1326      
1           	371         	8.85        	0.3161      	0.4951      	0.1331      
1           	372         	9.05        	0.3174      	0.4991      	0.1319      
1           	373         	9           	0.3151      	0.4938      	0.1328      
1           	374         	9           	0.315       	0.4906      	0.1358      
1           	375         	9           	0.3151      	0.4928      	0.1335      
1           	376         	9           	0.3146      	0.4907      	0.1345      
1           	377         	9           	0.3122      	0.4879      	0.1328      
1           	378         	9.1         	0.3107      	0.4839      	0.1341      
1           	379         	9           	0.3093      	0.4764      	0.1386      
1           	380         	9.15        	0.3067      	0.4725      	0.1374      
1           	381         	9.1         	0.3064      	0.4692      	0.1404      
1           	382         	9.3         	0.3047      	0.4665      	0.1398      
1           	383         	9.25        	0.3049      	0.466       	0.1408      
1           	384         	9.2         	0.3072      	0.4683      	0.1428      
1           	385         	9.2         	0.3025      	0.4613      	0.1405      
1           	386         	9.25        	0.3049      	0.4644      	0.142       
1           	387         	9.2         	0.3066      	0.4657      	0.1441      
1           	388         	9           	0.3084      	0.4682      	0.1453      
1           	389         	8.8         	0.3034      	0.4612      	0.1428      
1           	390         	8.95        	0.3042      	0.4635      	0.142       
1           	391         	9.05        	0.304       	0.4662      	0.1388      
1           	392         	9           	0.3016      	0.4644      	0.1357      
1           	393         	9           	0.2993      	0.4633      	0.1322      
1           	394         	8.95        	0.2996      	0.4617      	0.1348      
1           	395         	9.05        	0.2954      	0.4548      	0.1333      
1           	396         	8.95        	0.2978      	0.4587      	0.1343      
1           	397         	8.95        	0.2999      	0.4625      	0.1347      
1           	398         	9.05        	0.3         	0.4622      	0.1352      
1           	399         	8.9         	0.2987      	0.4628      	0.132       
1           	400         	9           	0.2962      	0.4582      	0.1317      
1           	401         	8.9         	0.2939      	0.4558      	0.1295      
1           	402         	8.8         	0.2938      	0.4584      	0.127       
1           	403         	8.9         	0.2922      	0.4551      	0.1272      
1           	404         	9.1         	0.295       	0.4583      	0.1295      
1           	405         	9           	0.2934      	0.454       	0.1306      
1           	406         	8.8         	0.293       	0.4534      	0.1301      
1           	407         	8.8         	0.2927      	0.4514      	0.1316      
1           	408         	8.8         	0.2914      	0.4484      	0.1321      
1           	409         	8.9         	0.2912      	0.4506      	0.1294      
1           	410         	9.1         	0.2918      	0.4518      	0.1292      
1           	411         	9           	0.2887      	0.4475      	0.1269      
1           	412         	9.1         	0.2915      	0.4559      	0.124       
1           	413         	9.05        	0.2936      	0.4593      	0.1245      
1           	414         	8.95        	0.2958      	0.461       	0.1275      
1           	415         	8.95        	0.2987      	0.4642      	0.1296      
1           	416         	9.05        	0.2952      	0.4583      	0.1284      
1           	417         	8.85        	0.2988      	0.4647      	0.1293      
1           	418         	8.8         	0.3033      	0.4722      	0.1309      
1           	419         	8.85        	0.3038      	0.4714      	0.1326      
1           	420         	8.95        	0.3044      	0.4714      	0.1338      
1           	421         	8.95        	0.3062      	0.473       	0.1359      
1           	422         	9.15        	0.3033      	0.4686      	0.1344      
1           	423         	8.9         	0.304       	0.4708      	0.1335      
1           	424         	8.85        	0.3025      	0.4669      	0.1349      
1           	425         	8.85        	0.3042      	0.4712      	0.1339      
1           	426         	9.05        	0.3043      	0.4692      	0.1363      
1           	427         	9           	0.3035      	0.4675      	0.1363      
1           	428         	8.75        	0.3023      	0.4631      	0.1381      
1           	429         	8.8         	0.2986      	0.4578      	0.1362      
1           	430         	8.6         	0.294       	0.4516      	0.1332      
1           	431         	8.85        	0.2929      	0.4485      	0.1341      
1           	432         	8.7         	0.2943      	0.4517      	0.1335      
1           	433         	8.75        	0.2934      	0.4508      	0.1328      
1           	434         	8.55        	0.2931      	0.4511      	0.132       
1           	435         	8.35        	0.2981      	0.4597      	0.1334      
1           	436         	8.35        	0.2951      	0.454       	0.1329      
1           	437         	8.4         	0.2929      	0.4484      	0.1339      
