generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
465         	1           	9.9         	0.02038     	0.01902     	0.02179     
466         	1           	9.85        	0.02095     	0.01996     	0.02198     
467         	1           	9.9         	0.02192     	0.02015     	0.02375     
468         	1           	9.85        	0.0217      	0.02033     	0.02311     
469         	1           	9.85        	0.02179     	0.02115     	0.02245     
470         	1           	9.75        	0.0212      	0.02083     	0.02159     
471         	1           	9.8         	0.0204      	0.02011     	0.02069     
472         	1           	9.75        	0.02042     	0.02036     	0.02049     
473         	1           	9.75        	0.02099     	0.02197     	0.01997     
474         	1           	9.8         	0.02174     	0.02224     	0.02122     
475         	1           	9.8         	0.02172     	0.02132     	0.02213     
476         	1           	9.75        	0.02101     	0.02057     	0.02146     
477         	1           	9.75        	0.02028     	0.0198      	0.02078     
478         	1           	9.85        	0.01982     	0.01923     	0.02043     
479         	1           	9.85        	0.01974     	0.01903     	0.02048     
480         	1           	9.85        	0.01947     	0.01769     	0.02129     
481         	1           	9.8         	0.01915     	0.01686     	0.0215      
482         	1           	9.9         	0.01788     	0.0159      	0.01991     
483         	1           	9.75        	0.01704     	0.01535     	0.01876     
484         	1           	9.85        	0.01643     	0.01504     	0.01784     
485         	1           	9.85        	0.01625     	0.01484     	0.0177      
486         	1           	9.75        	0.01628     	0.01474     	0.01786     
487         	1           	9.85        	0.01669     	0.01527     	0.01815     
488         	1           	9.8         	0.01701     	0.01531     	0.01876     
489         	1           	9.85        	0.01696     	0.01536     	0.01861     
490         	1           	9.85        	0.01672     	0.01559     	0.01789     
491         	1           	9.9         	0.01642     	0.01568     	0.01719     
492         	1           	9.9         	0.0166      	0.01613     	0.01708     
493         	1           	9.95        	0.01576     	0.0157      	0.01583     
