replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	603         	7           	0.5641      	0.5618      
1           	604         	7           	0.5559      	0.5585      
1           	605         	7           	0.5625      	0.5626      
1           	606         	7           	0.5661      	0.5667      
1           	607         	7           	0.5616      	0.5642      
1           	608         	7           	0.5611      	0.5589      
1           	609         	7           	0.5567      	0.5584      
1           	610         	7           	0.5605      	0.5566      
1           	611         	7           	0.5612      	0.5578      
1           	612         	7           	0.5479      	0.5573      
1           	613         	7           	0.5585      	0.5579      
1           	614         	7           	0.5539      	0.557       
1           	615         	7           	0.5644      	0.5587      
1           	616         	7           	0.5497      	0.5592      
1           	617         	7           	0.5547      	0.5577      
1           	618         	7           	0.5546      	0.555       
1           	619         	7           	0.5582      	0.5581      
1           	620         	7           	0.5586      	0.5556      
1           	621         	7           	0.5598      	0.5596      
1           	622         	7           	0.5657      	0.5635      
1           	623         	7           	0.5652      	0.567       
1           	624         	7           	0.5691      	0.569       
1           	625         	7           	0.5779      	0.5684      
1           	626         	7           	0.5674      	0.5717      
1           	627         	7           	0.5612      	0.5668      
1           	628         	7           	0.5633      	0.5664      
1           	629         	7           	0.5632      	0.564       
1           	630         	7           	0.5608      	0.5606      
1           	631         	7           	0.5648      	0.5625      
1           	632         	7           	0.563       	0.5665      
1           	633         	7           	0.5694      	0.5732      
1           	634         	7           	0.5698      	0.5728      
1           	635         	7           	0.5767      	0.5775      
1           	636         	7           	0.5809      	0.5789      
1           	637         	7           	0.5792      	0.5817      
1           	638         	8           	0.5859      	0.581       
1           	639         	8           	0.5804      	0.5834      
1           	640         	8           	0.5799      	0.5879      
1           	641         	8           	0.5882      	0.588       
1           	642         	8           	0.5884      	0.5884      
1           	643         	8           	0.5866      	0.5867      
1           	644         	8           	0.5921      	0.5888      
1           	645         	8           	0.596       	0.5922      
1           	646         	8           	0.5933      	0.5934      
1           	647         	8           	0.6036      	0.5966      
1           	648         	8           	0.5983      	0.5975      
1           	649         	8           	0.6016      	0.5981      
1           	650         	8           	0.5917      	0.5947      
1           	651         	8           	0.6005      	0.6001      
1           	652         	8           	0.5982      	0.5937      
1           	653         	8           	0.5897      	0.5942      
1           	654         	8           	0.5973      	0.595       
1           	655         	8           	0.5945      	0.5933      
1           	656         	8           	0.5936      	0.5892      
1           	657         	8           	0.5918      	0.593       
1           	658         	8           	0.5923      	0.594       
1           	659         	8           	0.591       	0.5951      
1           	660         	8           	0.5952      	0.5943      
1           	661         	8           	0.5991      	0.5936      
