replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	619         	9.95        	0.02011     	0.01771     	0.02251     
1           	620         	9.95        	0.0191      	0.01646     	0.02174     
1           	621         	10          	0.01961     	0.01681     	0.02239     
1           	622         	10          	0.01943     	0.01704     	0.02181     
1           	623         	10          	0.01938     	0.0175      	0.02126     
1           	624         	10          	0.0199      	0.01767     	0.02211     
1           	625         	10          	0.0199      	0.01803     	0.02176     
1           	626         	10          	0.01869     	0.01827     	0.01911     
1           	627         	10          	0.01827     	0.01797     	0.01856     
1           	628         	10          	0.01841     	0.01872     	0.01809     
1           	629         	10          	0.01962     	0.02037     	0.01889     
1           	630         	10          	0.01991     	0.02077     	0.01906     
1           	631         	10          	0.01974     	0.02015     	0.01933     
1           	632         	10          	0.02019     	0.02061     	0.01977     
1           	633         	10          	0.02043     	0.02055     	0.02031     
1           	634         	10          	0.02054     	0.0205      	0.02058     
1           	635         	10          	0.02081     	0.02142     	0.02021     
1           	636         	10          	0.02034     	0.02167     	0.01903     
1           	637         	9.95        	0.021       	0.02243     	0.01957     
1           	638         	9.95        	0.02133     	0.0223      	0.02037     
1           	639         	9.95        	0.02155     	0.02226     	0.02084     
1           	640         	10          	0.02234     	0.02251     	0.02217     
1           	641         	10          	0.02309     	0.0234      	0.02278     
1           	642         	10          	0.02283     	0.02271     	0.02294     
1           	643         	9.95        	0.02322     	0.02448     	0.02197     
1           	644         	9.95        	0.023       	0.02446     	0.02155     
1           	645         	9.95        	0.02471     	0.02657     	0.02285     
1           	646         	9.95        	0.02432     	0.02671     	0.02195     
1           	647         	9.95        	0.02539     	0.02743     	0.02336     
1           	648         	9.95        	0.02715     	0.02966     	0.02465     
1           	649         	9.95        	0.02799     	0.03037     	0.02561     
1           	650         	10          	0.02835     	0.03176     	0.02496     
1           	651         	9.95        	0.02784     	0.02973     	0.02595     
1           	652         	9.9         	0.02712     	0.02868     	0.02556     
1           	653         	9.95        	0.02741     	0.03008     	0.02476     
1           	654         	9.85        	0.02908     	0.03168     	0.0265      
1           	655         	9.9         	0.02868     	0.03133     	0.02605     
1           	656         	9.95        	0.0281      	0.03083     	0.0254      
1           	657         	9.95        	0.02858     	0.03207     	0.02512     
1           	658         	9.95        	0.02778     	0.03183     	0.02378     
1           	659         	9.95        	0.02787     	0.03231     	0.02347     
1           	660         	9.95        	0.02722     	0.03237     	0.02212     
1           	661         	9.95        	0.02738     	0.0324      	0.02241     
1           	662         	10          	0.02785     	0.03361     	0.02213     
1           	663         	10          	0.02774     	0.03265     	0.02285     
1           	664         	10          	0.0282      	0.03306     	0.02338     
1           	665         	9.95        	0.02941     	0.03539     	0.02349     
1           	666         	10          	0.0314      	0.03828     	0.02454     
1           	667         	9.95        	0.03024     	0.038       	0.02251     
1           	668         	9.95        	0.02975     	0.03751     	0.02202     
1           	669         	9.95        	0.02898     	0.03773     	0.02027     
1           	670         	9.95        	0.02907     	0.03749     	0.02067     
1           	671         	9.95        	0.0282      	0.03669     	0.01974     
1           	672         	10          	0.02738     	0.03599     	0.01879     
1           	673         	10          	0.02649     	0.03458     	0.0184      
