replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1084        	9           	0.6832      	0.6872      
1           	1085        	9           	0.6931      	0.691       
1           	1086        	9           	0.6887      	0.6884      
1           	1087        	9           	0.6888      	0.6876      
1           	1088        	9           	0.6815      	0.6843      
1           	1089        	9           	0.6985      	0.6886      
1           	1090        	9           	0.6867      	0.6825      
1           	1091        	9           	0.6842      	0.6852      
1           	1092        	9           	0.6771      	0.6837      
1           	1093        	9           	0.6936      	0.688       
1           	1094        	9           	0.6863      	0.684       
1           	1095        	9           	0.6848      	0.6812      
1           	1096        	9           	0.6758      	0.6778      
1           	1097        	9           	0.671       	0.675       
1           	1098        	9           	0.6797      	0.6753      
1           	1099        	9           	0.6788      	0.6744      
1           	1100        	9           	0.6805      	0.6778      
1           	1101        	9           	0.6749      	0.6768      
1           	1102        	9           	0.6715      	0.6738      
1           	1103        	9           	0.6747      	0.6731      
1           	1104        	9           	0.6688      	0.6684      
1           	1105        	9           	0.6716      	0.6643      
1           	1106        	9           	0.6623      	0.6678      
1           	1107        	9           	0.6609      	0.6617      
1           	1108        	9           	0.6613      	0.6612      
1           	1109        	10          	0.6552      	0.6588      
1           	1110        	10          	0.6596      	0.6629      
1           	1111        	10          	0.6602      	0.6625      
1           	1112        	10          	0.6623      	0.6652      
1           	1113        	10          	0.6695      	0.6709      
1           	1114        	10          	0.6697      	0.6692      
1           	1115        	10          	0.6752      	0.6751      
1           	1116        	10          	0.6727      	0.6739      
1           	1117        	9           	0.6648      	0.6687      
1           	1118        	9           	0.6695      	0.6691      
1           	1119        	9           	0.6821      	0.6742      
1           	1120        	9           	0.6758      	0.677       
1           	1121        	9           	0.6699      	0.6728      
1           	1122        	9           	0.6782      	0.6781      
1           	1123        	9           	0.6749      	0.6812      
1           	1124        	9           	0.6818      	0.6816      
1           	1125        	9           	0.6811      	0.681       
1           	1126        	9           	0.6819      	0.6843      
1           	1127        	9           	0.6857      	0.6858      
1           	1128        	9           	0.6769      	0.6842      
1           	1129        	9           	0.6821      	0.6822      
1           	1130        	9           	0.6809      	0.6791      
1           	1131        	9           	0.6724      	0.6766      
1           	1132        	9           	0.6785      	0.677       
1           	1133        	9           	0.6786      	0.6754      
1           	1134        	9           	0.6747      	0.6752      
1           	1135        	9           	0.6684      	0.6682      
1           	1136        	9           	0.6664      	0.6725      
1           	1137        	9           	0.6693      	0.6701      
1           	1138        	9           	0.6695      	0.6681      
1           	1139        	9           	0.6693      	0.6708      
1           	1140        	9           	0.6741      	0.6742      
1           	1141        	9           	0.6799      	0.6781      
1           	1142        	9           	0.6744      	0.6817      
1           	1143        	9           	0.6881      	0.6843      
1           	1144        	9           	0.6881      	0.681       
1           	1145        	9           	0.685       	0.6823      
